Time,T_Outdoor_Temperature_C,m_dot_water
6/2/2023 12:40,28.875,0
6/2/2023 12:45,29.06666667,0
6/2/2023 12:50,29.37916667,0
6/2/2023 12:55,29.5125,0
6/2/2023 13:00,29.70833333,0
6/2/2023 13:05,29.875,0
6/2/2023 13:10,30.08333333,0
6/2/2023 13:15,30.46666667,0.002753224
6/2/2023 13:20,30.60833333,0
6/2/2023 13:25,30.57916667,0
6/2/2023 13:30,30.73333333,0
6/2/2023 13:35,30.8,0
6/2/2023 13:40,31.1,0
6/2/2023 13:45,31.30833333,0
6/2/2023 13:50,31.5375,0
6/2/2023 13:55,31.65,0
6/2/2023 14:00,31.85,0
6/2/2023 14:05,31.76666667,0
6/2/2023 14:10,31.95833333,0
6/2/2023 14:15,32.19166667,0
6/2/2023 14:20,32.31666667,0
6/2/2023 14:25,32.45,0
6/2/2023 14:30,32.225,0
6/2/2023 14:35,32.35,0.000120518
6/2/2023 14:40,32.41666667,0
6/2/2023 14:45,32.46666667,0
6/2/2023 14:50,32.5,0
6/2/2023 14:55,32.45,8.31E-05
6/2/2023 15:00,32.8,0
6/2/2023 15:05,32.75833333,0
6/2/2023 15:10,32.81666667,0
6/2/2023 15:15,32.98333333,0.001381807
6/2/2023 15:20,33,0
6/2/2023 15:25,32.975,0
6/2/2023 15:30,32.925,0
6/2/2023 15:35,32.99166667,0
6/2/2023 15:40,33.10833333,0.002011412
6/2/2023 15:45,33.24166667,0
6/2/2023 15:50,33.35833333,0
6/2/2023 15:55,33.30833333,0
6/2/2023 16:00,33.25,0
6/2/2023 16:05,33.30833333,0
6/2/2023 16:10,33.5,0
6/2/2023 16:15,33.16666667,0
6/2/2023 16:20,33.11666667,0
6/2/2023 16:25,33.20833333,0
6/2/2023 16:30,33,0
6/2/2023 16:35,33,0
6/2/2023 16:40,32.9,0
6/2/2023 16:45,32.75,0
6/2/2023 16:50,32.75,0
6/2/2023 16:55,32.75,0
6/2/2023 17:00,32.75,0
6/2/2023 17:05,32.75,0
6/2/2023 17:10,32.5,0
6/2/2023 17:15,32.5,0
6/2/2023 17:20,32.29166667,0.01010693
6/2/2023 17:25,32.25,0.007112669
6/2/2023 17:30,32.23333333,0.108925855
6/2/2023 17:35,32,0.127851413
6/2/2023 17:40,31.90416667,0.130103862
6/2/2023 17:45,31.54166667,0.063270127
6/2/2023 17:50,31.13333333,0.000311686
6/2/2023 17:55,30.70416667,0.000105973
6/2/2023 18:00,30.05416667,0
6/2/2023 18:05,29.66666667,0
6/2/2023 18:10,29.59166667,0
6/2/2023 18:15,29.32083333,0
6/2/2023 18:20,28.34166667,0.00143791
6/2/2023 18:25,28.06666667,0
6/2/2023 18:30,27.3625,0
6/2/2023 18:35,26.35416667,0
6/2/2023 18:40,25.725,0.012926647
6/2/2023 18:45,25.23333333,0
6/2/2023 18:50,25.10833333,0.013067944
